label,avg_gini
Neutral,0.808018313420179
Neutral,0.7897028701565598
Neutral,0.8138842852737482
Neutral,0.7924364033009407
Neutral,0.7772728285864743
Neutral,0.7587067773107399
Neutral,0.7796732613356149
Neutral,0.8290196638950698
Neutral,0.799384114374281
Neutral,0.8240734313895106
Neutral,0.7497415694970094
Neutral,0.7882129466501795
Neutral,0.7806149001404228
Neutral,0.8154440852980052
Neutral,0.7762048522822789
Neutral,0.7800595754781937
Neutral,0.7944500054150749
Neutral,0.7751122448371556
Neutral,0.8104089352847883
Neutral,0.7930019178651062
Hate Speech,0.7741663173050027
Hate Speech,0.8068141557416767
Hate Speech,0.751718920386006
Hate Speech,0.7863207993186629
Hate Speech,0.8169612307961993
Hate Speech,0.7728295988926862
Hate Speech,0.8165719862643361
Hate Speech,0.7550133811773618
Hate Speech,0.8032477791529783
Hate Speech,0.78202763684129
Hate Speech,0.7974867199058799
Hate Speech,0.8158796717024448
Hate Speech,0.8196743540915419
Hate Speech,0.7904706732022988
Hate Speech,0.8003605708978709
Hate Speech,0.8317791102792407
Hate Speech,0.829056301530446
Hate Speech,0.8138997971433357
Hate Speech,0.7898049858331588
Hate Speech,0.8325503420289806
